Time (s),Monomer Concentration,Catalyst Concentration,Acid Concentration,Mn_ODE,Mw_ODE
0.0,10000.0,1.0,0.36,3.6029999879899996e-10,0.07206
3.4248775936709585e-06,9999.999999993714,0.9999429215666389,0.360057078433361,3.754004264541282e-10,0.07523876639592628
6.849755187341917e-06,9999.999999980175,0.9998858464393168,0.36011415356068327,4.0792169062845973e-10,0.08127415169468893
4.10985311240515e-05,9999.999999206457,0.9993153861482446,0.36068461385175554,2.2663901966265078e-09,0.13853634516307295
7.534730706076109e-05,9999.99999770645,0.9987452569548698,0.3612547430451302,5.869412415592907e-09,0.1463576925174359
0.0001780590896258921,9999.999989180897,0.99703728046782,0.36296271953218,2.6347788751709988e-08,0.15051541671909174
0.00028077087219102314,9999.999974210554,0.9953322425921836,0.3646677574078165,6.230654838337416e-08,0.15147856211048877
0.0003834826547561542,9999.999952649301,0.9936302104054064,0.36636978959459354,1.1409668136969526e-07,0.152030666275551
0.000645334746048475,9999.999867859577,0.989304674496188,0.3706953255038119,3.1776160149213063e-07,0.15309136717781813
0.0009071868373407958,9999.999739966997,0.9849988058289886,0.37500119417101163,6.249595676837572e-07,0.1540582206763478
0.0011690389286331166,9999.999569189757,0.9807125127531178,0.37928748724688244,1.0351665013311653e-06,0.15501172225724336
0.0014308910199254375,9999.999355821046,0.9764456692835798,0.38355433071642026,1.5476781438608286e-06,0.1559625673214475
0.0023146183830320484,9999.99832366673,0.9621880551089658,0.3978119448910343,4.026912800174733e-06,0.15915057319034331
0.0031983457461386595,9999.996816259933,0.9481478400255653,0.41185215997443486,7.647703923695934e-06,0.16232840271574872
0.004082073109245271,9999.994840771044,0.9343220238321618,0.42567797616783826,1.239282821402337e-05,0.16549260179438985
0.004965800472351883,9999.992404196544,0.9207076724658744,0.43929232753412584,1.8245480140847283e-05,0.16864091965576636
0.007122233153982472,9999.984567025589,0.8883556484536665,0.4716443515463335,3.7070364716885506e-05,0.17625807341994715
0.009278665835613062,9999.974125991459,0.8572028770883143,0.5027971229116858,6.214972862167442e-05,0.18377870373808552
0.011435098517243652,9999.961177851053,0.8272081128170383,0.5327918871829618,9.32511617821504e-05,0.19120409235597993
0.013591531198874242,9999.945816101927,0.7983312493436148,0.5616687506563853,0.0001301500830705966,0.19853593914572326
0.015747963880504832,9999.928130856242,0.7705334060342701,0.58946659396573,0.00017263004308426026,0.20577532186718614
0.02092209400782484,9999.876735265101,0.7080125617055474,0.6519874382944527,0.0002960822526614258,0.22277902780154513
0.026096224135144848,9999.81358763745,0.6509940681338883,0.7090059318661118,0.0004477628538791333,0.23926335320116843
0.031270354262464856,9999.739724485744,0.5990186228027006,0.7609813771972995,0.0006251821438442773,0.2552331576152969
0.03644448438978486,9999.656095849845,0.5516607605397924,0.8083392394602077,0.000826058126801495,0.2706994266554495
0.04161861451710487,9999.563571536492,0.5085272693003758,0.8514727306996243,0.0010483015269903218,0.28567478722310624
0.05184536085015026,9999.357574474569,0.43430982308168553,0.9256901769183143,0.001543106468787694,0.31390233972111964
0.062072107183195654,9999.125259112028,0.37272218930925505,0.9872778106907452,0.002101127968709123,0.34034216564499553
0.07229885351624105,9998.871109514885,0.32166962905502955,1.0383303709449705,0.002711595300261315,0.36506356946930335
0.08252559984928644,9998.598865883661,0.27938749710948113,1.0806125028905191,0.00336552450182091,0.3881620325649629
0.09275234618233183,9998.311645178952,0.24439367672288975,1.11560632327711,0.004055428634088971,0.4097386558374941
0.11105030199548696,9997.768348286512,0.19615037061639196,1.1638496293836078,0.0053604277694530396,0.4448860756837396
0.1293482578086421,9997.196697284906,0.161817080811038,1.198182919188962,0.006733533475805476,0.47594252475801724
0.14764621362179722,9996.604814164419,0.13743976186460516,1.2225602381353946,0.008155236732516375,0.5033415202495217
0.16594416943495235,9995.998544690072,0.12016126501954748,1.2398387349804523,0.009611496012026611,0.5275388860873026
0.18424212524810749,9995.38210612872,0.10791647942405984,1.25208352057594,0.011092181439341934,0.5489586183611181
0.20787031141924509,9994.575873602098,0.09718511252885889,1.262814887471141,0.013028751973305363,0.573094350193982
0.23149849759038268,9993.761945334734,0.09029295223524074,1.269707047764759,0.014983807677842208,0.593855727736563
0.25512668376152026,9992.943041712046,0.08589545588823368,1.2741045441117658,0.016950814187109045,0.6118014665383203
0.27875486993265786,9992.120969497038,0.08309937379254465,1.2769006262074551,0.01892543165630081,0.6274118658607377
0.30238305610379546,9991.296924344144,0.08131411717183967,1.2786858828281595,0.02090478812341155,0.6410876426635028
0.33594336550608245,9990.124559253729,0.07979477054919748,1.2802052294508024,0.0237208090863395,0.6578089604030435
0.36950367490836944,9988.950916542066,0.07897869440748718,1.2810213055925126,0.02653989889736696,0.6720156338499654
0.40306398431065643,9987.776603234553,0.07856497643055799,1.2814350235694414,0.029360599481278397,0.6842702645658898
0.4366242937129434,9986.602001189704,0.07836413190528907,1.2816358680947106,0.03218199361370467,0.6949961621256036
0.4701846031152304,9985.427344667705,0.07826009224912467,1.2817399077508753,0.03500351860144891,0.7045123391481533
0.534041673986701,9983.192371907298,0.07819971787556927,1.2818002821244303,0.040371923216220254,0.7201137934613354
0.5978987448581716,9980.957858397871,0.07816501749715034,1.2818349825028494,0.04573922471226043,0.7333280936128491
0.6617558157296423,9978.723842417034,0.07813748786563725,1.2818625121343625,0.051105331145244536,0.7448841875127394
0.7256128866011129,9976.490302297729,0.0781280749027189,1.281871925097281,0.05647029455798037,0.7552539148179035
0.932719004151876,9969.249776564284,0.07812707420858515,1.2818729257914145,0.07386203749570051,0.7838121166777948
1.1398251217026392,9962.014610081773,0.07813533039186123,1.2818646696081386,0.09124090743747541,0.8080164925591918
1.3469312392534023,9954.784829656477,0.07813611992226051,1.2818638800777393,0.10860683994414799,0.829949822958634
1.9169702168896765,9934.913277874448,0.07813494136981433,1.2818650586301856,0.15633830605848847,0.8847319933697187
2.4870091945259505,9915.082306038934,0.07813417178306091,1.2818658282169388,0.20397229676383727,0.9358291081956449
3.0570481721622245,9895.291835672586,0.07813448364696113,1.2818655163530384,0.2515089995250192,0.9852883942087426
4.257905780927951,9853.732940531603,0.0781346529610275,1.2818653470389723,0.35133343499933006,1.0869448554756933
5.458763389693678,9812.352664706306,0.07813460136773173,1.2818653986322683,0.45072879762146445,1.1868180414454952
6.659620998459404,9771.150228008615,0.07813456035414792,1.2818654396458522,0.5496969520076075,1.2856482857601976
7.860478607225131,9730.124860622927,0.07813457688389856,1.2818654231161015,0.6482397379953047,1.3837243190862125
10.690311949514616,9634.144064809569,0.0781345874228363,1.2818654125771636,0.8787850227466376,1.6125313751921946
13.5201452918041,9539.132456739038,0.07813455188841495,1.2818654481115852,1.1070018855731725,1.83861574468175
16.349978634093585,9445.08026611269,0.07813456678706708,1.281865433212933,1.332913682211682,2.0622595437872056
19.17981197638307,9351.977804362004,0.07813458077102883,1.2818654192289713,1.5565435759818007,2.283595337076362
22.009645318672558,9259.8154729024,0.07813457605265534,1.2818654239473448,1.7779145178615652,2.502703523670713
29.33904117907096,9025.414478762936,0.07813457626379429,1.2818654237362055,2.340933754331274,3.0602364492674012
36.66843703946937,8797.094808968031,0.07813458409056656,1.2818654159094336,2.8893382449896685,3.60396685903316
43.997832899867774,8574.698689987397,0.07813458008092551,1.2818654199190744,3.4235054669861538,4.134512511918746
51.32722876026618,8358.07245748901,0.07813457663675215,1.2818654233632476,3.9438031690775355,4.652422993437637
58.65662462066459,8147.066424558019,0.07813457752709901,1.281865422472901,4.4505896787982895,5.158206803424851
74.11374279412982,7719.845435918191,0.07813457725947605,1.2818654227405237,5.476626694764112,6.187163497071141
89.57086096759505,7315.663360374458,0.0781345763660777,1.2818654236339222,6.447259817442918,7.168454775864024
105.02797914106029,6933.277959378157,0.07813457707866396,1.2818654229213358,7.3654662074771915,8.105974385522043
120.48509731452552,6571.513909255855,0.07813457733175777,1.2818654226682422,8.234063988380198,9.003233857689851
135.94221548799075,6229.259123830224,0.07813457721364253,1.2818654227863573,9.055720834941418,9.863414232835304
170.72754092849223,5525.019316672223,0.07813457723885667,1.2818654227611435,10.746014798142358,11.677198952443508
205.5128663689937,4903.368507372155,0.07813457724194894,1.2818654227580513,12.237507507552387,13.346070840189418
